Country,Continent,Median Age,GDP per capita,Net Migration,Infant Mortality
Slovakia,Europe,37.2,17545,30.2,6.252
Slovenia,Europe,41.5,24709,44.72,2.89
Solomon Islands,Oceania,19.5,1518,-11.896,42.857
Somalia,Africa,16.1,112,-300,89.784
South Africa,Africa,25.2,8090,1402.643,51.911
South Sudan,Africa,18.3,1420,785,89.66
Spain,Europe,40.2,31820,2250.005,3.636
Sri Lanka,Asia,30.5,2812,-383.573,10.521
Sudan,Africa,18.7,1583,-500,59.662
Suriname,America,27.5,8708,-4.998,22.16
Swaziland,Africa,19.3,3399,-6,75.889
Sweden,Europe,40.7,57134,262.453,2.49
Switzerland,Europe,41.6,85794,344.872,4.212
Syrian Arab Republic,Asia,21.9,3095,1140.716,14.942
Tajikistan,Asia,21.2,935,-62.356,56.006
TFYR Macedonia,Europe,36.1,4925,-8.588,11.885
Thailand,Asia,35.4,5318,-710.068,11.801
Timor-Leste,Asia,16.1,4829,-74.895,50.982
Togo,Africa,18.7,600,-9.994,74.702
Tonga,Oceania,21.3,4335,-8.196,22.033
Trinidad and Tobago,America,31.9,16272,-11.303,26.575
Tunisia,Africa,29,4373,-32.941,18.699
Turkey,Asia,28.3,10524,-50,16.389
Turkmenistan,Asia,24.5,5042,-57.048,50.485
Uganda,Africa,15.5,558,-135,66.752
Ukraine,Europe,39.4,3657,235.195,12.632
United Arab Emirates,Asia,28,42921,3812.193,6.88
United Kingdom,Europe,39.8,38918,840.371,4.898
United States of America,America,37.1,47882,5224.81,6.869
Uruguay,America,33.7,13819,-50,13.076
Uzbekistan,Asia,24.1,1641,-443.424,47.104
Vanuatu,Oceania,21.2,3168,1.135,28.661
Venezuela (Bolivarian Republic of),America,26.1,10731,40,17.007
Viet Nam,Asia,28.5,1392,-877.681,15.802
Yemen,Asia,18.2,1270,-135,61.313
Zambia,Africa,16.5,1426,-85,77.995
Zimbabwe,Africa,18.5,695,-800,52.657
